time	lat	long	vmax	64ne	64se	64sw	64nw	50ne	50se	50sw	50nw	34ne	34se	34sw	34nw	notes
0	-16.9	119.8	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
6	-17.9	119.1	20.576	0	0	0	0	0	0	0	0	50	50	80	70	0
12	-18.5	118.9	25.72	0	0	0	0	55	65	60	45	105	125	110	100	0
18	-19.1	118.6	30.864	0	0	0	0	55	65	60	45	105	125	110	100	0
24	-19	118.7	33.436	0	0	30	35	40	50	50	50	90	100	80	90	0
30	-19.1	118.6	36.008	30	30	30	35	40	50	50	50	90	100	80	90	0
36	-19.2	118.3	43.724	30	30	30	35	40	50	50	50	90	100	80	90	0
48	-19.3	117.8	54.012	20	20	30	30	30	40	40	40	80	80	80	80	0
60	-19.5	117.6	64.3	30	30	30	30	40	50	50	40	90	80	80	80	0
72	-20.1	117.5	64.3	20	30	30	30	40	50	40	40	100	80	80	80	0
84	-21.4	117.8	46.296	20	30	20	30	40	40	50	40	80	60	60	60	0
108	-24.8	117.6	20.576	0	0	0	0	0	0	0	0	0	0	0	0	0
132	-27.3	117.8	12.86	0	0	0	0	0	0	0	0	0	0	0	0	0
